"No.","Time","Source","Destination","Protocol","Length","Info"
"102","0.079135","fe80::e608:4bcf:dd8f:569f","ff02::fb","MDNS","387","Standard query response 0x0000 PTR Spotify Desktop Launcher(6)._spotify-connect._tcp.local SRV 0 0 64618 Titi.local TXT A 194.210.234.174 AAAA 2001:690:2100:1016:3c7f:38f9:d6d:d2bb AAAA 2001:690:2100:1016:20f6:1672:64ba:f51c AAAA fe80::e608:4bcf:dd8f:569f"
"103","0.079297","194.210.222.164","194.210.223.255","NBNS","92","Name query NB LAPTOP-FBDHUCI4<20>"
"104","0.079418","fe80::b6:5ed7:a143:4278","ff02::fb","MDNS","411","Standard query response 0x0000 PTR Spotify Desktop Launcher(12)._spotify-connect._tcp.local SRV 0 0 52483 DESKTOP-DB55GOM.local TXT A 194.210.234.68 AAAA 2001:690:2100:1016:dfdb:19f7:836e:ca3e AAAA 2001:690:2100:1016:2c27:5d02:1cae:e3aa AAAA fe80::b6:5ed7:a143:4278"
"105","0.079579","fe80::b6:5ed7:a143:4278","ff02::fb","MDNS","411","Standard query response 0x0000 PTR Spotify Desktop Launcher(12)._spotify-connect._tcp.local SRV 0 0 52483 DESKTOP-DB55GOM.local TXT A 194.210.234.68 AAAA 2001:690:2100:1016:dfdb:19f7:836e:ca3e AAAA 2001:690:2100:1016:2c27:5d02:1cae:e3aa AAAA fe80::b6:5ed7:a143:4278"
"106","0.079746","fe80::b6:5ed7:a143:4278","ff02::fb","MDNS","411","Standard query response 0x0000 PTR Spotify Desktop Launcher(12)._spotify-connect._tcp.local SRV 0 0 52483 DESKTOP-DB55GOM.local TXT A 194.210.234.68 AAAA 2001:690:2100:1016:dfdb:19f7:836e:ca3e AAAA 2001:690:2100:1016:2c27:5d02:1cae:e3aa AAAA fe80::b6:5ed7:a143:4278"
"107","0.079912","194.210.234.68","224.0.0.251","MDNS","391","Standard query response 0x0000 PTR Spotify Desktop Launcher(12)._spotify-connect._tcp.local SRV 0 0 52483 DESKTOP-DB55GOM.local TXT A 194.210.234.68 AAAA 2001:690:2100:1016:dfdb:19f7:836e:ca3e AAAA 2001:690:2100:1016:2c27:5d02:1cae:e3aa AAAA fe80::b6:5ed7:a143:4278"
"108","0.087993","52.112.167.170","194.210.223.226","UDP","119","3478  >  50029 Len=77"
"109","0.087993","52.112.167.170","194.210.223.226","UDP","928","3478  >  50029 Len=886"
"110","0.087993","52.112.167.170","194.210.223.226","UDP","928","3478  >  50029 Len=886"
"111","0.087993","52.112.167.170","194.210.223.226","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 194.210.223.226:50052"
"112","0.087993","52.112.167.170","194.210.223.226","UDP","119","3478  >  50029 Len=77"
"113","0.087993","52.112.167.170","194.210.223.226","UDP","625","3478  >  50029 Len=583"
"114","0.087993","52.112.167.170","194.210.223.226","UDP","625","3478  >  50029 Len=583"
"115","0.087993","52.112.167.170","194.210.223.226","UDP","625","3478  >  50029 Len=583"
"116","0.087993","52.112.167.170","194.210.223.226","UDP","625","3478  >  50029 Len=583"
"117","0.087993","52.112.167.170","194.210.223.226","UDP","625","3478  >  50029 Len=583"
"118","0.087993","52.112.167.170","194.210.223.226","UDP","625","3478  >  50029 Len=583"
"119","0.087993","52.112.167.170","194.210.223.226","UDP","625","3478  >  50029 Len=583"
"120","0.087993","52.112.167.170","194.210.223.226","UDP","625","3478  >  50029 Len=583"
"121","0.087993","52.112.167.170","194.210.223.226","UDP","620","3478  >  50029 Len=578"
